delist_date,name,code,market_name,reason,category
2017-01-16,ダルトン,7432,JQスタンダード,株式の併合,acquisition
2017-01-16,ＳＯＭＰＯケアメッセージ,2400,JQスタンダード,株式等売渡請求による取得,acquisition
2017-01-20,マネースクウェアＨＤ,8728,第一部,株式の併合,acquisition
2017-01-24,ミツミ電機,6767,第一部,ミネベアミツミの完全子会社化,acquisition
2017-01-30,エイチアンドエフ,6163,JQスタンダード,株式等売渡請求による取得,acquisition
2017-02-06,日本デジタル研究所,6935,第一部,株式等売渡請求による取得,acquisition
2017-02-10,アデランス,8170,第一部,株式の併合,acquisition
2017-02-24,インテア・ホールディングス,3734,マザーズ,光通信の完全子会社化,acquisition
2017-03-22,パナソニック　デバイスＳＵＮＸ,6860,第一部,パナソニックの完全子会社化,acquisition
2017-03-23,アコーディア・ゴルフ,2131,第一部,株式の併合,acquisition
2017-03-28,Ｔ＆Ｃメディカルサイエンス,3832,JQグロース,JASDAQ業績基準該当及び債務超過,failure
2017-03-29,東燃ゼネラル石油,5012,第一部,ＪＸＴＧホールディングスの完全子会社化,acquisition
2017-03-29,コカ・コーライーストジャパン,2580,第一部,コカ・コーラボトラーズジャパンの完全子会社化,acquisition
2017-04-26,イハラケミカル工業,4989,第一部,クミアイ化学工業に合併,acquisition
2017-04-26,攝津製油,2611,第二部,日清オイリオグループの完全子会社化,acquisition
2017-04-28,高木証券,8625,第二部,株式等売渡請求による取得,acquisition
2017-05-01,バンク・オブ・アメリカ・コーポレーション,8648,第一部（外国株）,申請による上場廃止,other
2017-05-02,ニッコウトラベル,9373,第二部,株式等売渡請求による取得,acquisition
2017-05-08,カルソニックカンセイ,7248,第一部,株式等売渡請求による取得,acquisition
2017-05-29,フード・プラネット,7853,第二部,内部管理体制等について改善がなされなかったと当取引所が認める場合,failure
2017-05-29,三浦印刷,7920,第二部,株式等売渡請求による取得,acquisition
2017-06-02,住友不動産販売,8870,第一部,株式等売渡請求による取得,acquisition
2017-06-28,ベスト電器,8175,第一部,ヤマダ電機の完全子会社化,acquisition
2017-07-06,丸栄,8245,第一部,株式等売渡請求による取得,acquisition
2017-07-24,日立工機,6581,第一部,株式の併合,acquisition
2017-07-27,タカタ,7312,第一部,民事再生手続き,failure
2017-07-27,ＴＡＳＡＫＩ,7968,第一部,スターダスト（非上場）に合併,acquisition
2017-07-27,日本コロムビア,6791,第一部,フェイスの完全子会社化,acquisition
2017-07-27,データリンクス,2145,JQスタンダード,ＤＴＳの完全子会社化,acquisition
2017-08-10,ＵＳＥＮ,4842,JQスタンダード,株式の併合,acquisition
2017-09-07,大林道路,1896,第一部,株式の併合,acquisition
2017-09-11,郷鉄工所,6397,第二部,有価証券報告書提出遅延,other
2017-09-27,日本無線,6751,第一部,日清紡ホールディングスの完全子会社化,acquisition
2017-09-27,パナホーム,1924,第一部,株式の併合,acquisition
2017-10-27,メガネスーパー,3318,JQスタンダード,ビジョナリーホールディングスの完全子会社化,acquisition
2017-11-28,山下医科器械,3022,第一部,ヤマシタヘルスケアホールディングスの完全子会社化,acquisition
2017-12-18,ゲンキー,2772,第一部,Ｇｅｎｋｙ ＤｒｕｇＳｔｏｒｅｓの完全子会社化,acquisition
2017-12-25,曽田香料,4965,JQスタンダード,株式の併合,acquisition
2017-12-27,ダンロップスポーツ,7825,第一部,住友ゴム工業に合併,acquisition
2017-12-29,技研興業,9764,第二部,技研ホールディングスの完全子会社化,acquisition
2018-01-23,富士機工,7260,第一部,株式等売渡請求による取得,acquisition
2018-01-29,富士通ビー・エス・シー,4793,JQスタンダード,富士通の完全子会社化,acquisition
2018-01-29,郵船ロジスティクス,9370,第一部,株式等売渡請求による取得,acquisition
2018-02-01,増田製粉所,2008,第二部,株式等売渡請求による取得,acquisition
2018-02-01,ポケットカード,8519,第一部,株式の併合,acquisition
2018-03-09,日立国際電気,6756,第一部,株式の併合,acquisition
2018-03-16,アサツー　ディ・ケイ,9747,第一部,株式の併合,acquisition
2018-03-16,黒田電気,7517,第一部,株式等売渡請求による取得,acquisition
2018-03-19,上原成商事,8148,第二部,株式の併合,acquisition
2018-03-20,鈴縫工業,1846,第二部,株式等売渡請求による取得,acquisition
2018-03-28,沖電線,5815,第一部,株式の併合,acquisition
2018-03-28,三重銀行,8374,第一部,三十三フィナンシャルグループの完全子会社化,acquisition
2018-03-28,第三銀行,8529,第一部,三十三フィナンシャルグループの完全子会社化,acquisition
2018-03-28,関西アーバン銀行,8545,第一部,関西みらいフィナンシャルグループの完全子会社化,acquisition
2018-03-28,みなと銀行,8543,第一部,関西みらいフィナンシャルグループの完全子会社化,acquisition
2018-04-24,テクニカル電子,6716,JQスタンダード,株式等売渡請求による取得,acquisition
2018-04-25,ＵＣＳ,8787,JQスタンダード,ユニーの完全子会社化,acquisition
2018-05-08,川崎化成工業,4117,第二部,株式等売渡請求による取得,acquisition
2018-06-22,東栄リーファーライン,9133,JQスタンダード,株式の併合,acquisition
2018-06-27,石井工作研究所,6314,JQスタンダード,ＦＩＧの完全子会社化,acquisition
2018-06-27,モバイルクリエイト,3669,第一部,ＦＩＧの完全子会社化,acquisition
