code,name,market,sector33,sector17,size
1301,極洋,prime,水産・農林業,食品,small1
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,growth,医薬品,医薬品,none
1332,ニッスイ,prime,水産・農林業,食品,mid400
1333,Ｕｍｉｏｓ,prime,水産・農林業,食品,mid400
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,growth,情報・通信業,情報通信・サービスその他,none
1375,ユキグニファクトリー,prime,水産・農林業,食品,small2
1376,カネコ種苗,standard,水産・農林業,食品,small2
1377,サカタのタネ,prime,水産・農林業,食品,small1
1379,ホクト,prime,水産・農林業,食品,small2
137A,Ｃｏｃｏｌｉｖｅ,growth,情報・通信業,情報通信・サービスその他,none
1380,秋川牧園,standard,水産・農林業,食品,none
1381,アクシーズ,standard,水産・農林業,食品,none
1382,ホーブ,standard,水産・農林業,食品,none
1383,ベルグアース,standard,水産・農林業,食品,none
1384,ホクリヨウ,standard,水産・農林業,食品,none
138A,光フードサービス,growth,小売業,小売,none
1401,エムビーエス,growth,建設業,建設・資材,none
1407,ウエストホールディングス,standard,建設業,建設・資材,none
1414,ショーボンドホールディングス,prime,建設業,建設・資材,mid400
1417,ミライト・ワン,prime,建設業,建設・資材,mid400
1418,インターライフホールディングス,standard,建設業,建設・資材,none
1419,タマホーム,prime,建設業,建設・資材,small1
141A,トライアルホールディングス,growth,小売業,小売,none
1420,サンヨーホームズ,standard,建設業,建設・資材,none
1429,日本アクア,prime,建設業,建設・資材,none
142A,ジンジブ,growth,サービス業,情報通信・サービスその他,none
1430,ファーストコーポレーション,standard,建設業,建設・資材,none
1431,Ｌｉｂ　Ｗｏｒｋ,growth,建設業,建設・資材,none
1433,ベステラ,prime,建設業,建設・資材,none
1434,ＪＥＳＣＯホールディングス,standard,建設業,建設・資材,none
1435,ｒｏｂｏｔ　ｈｏｍｅ,standard,不動産業,不動産,small2
1436,グリーンエナジー＆カンパニー,growth,建設業,建設・資材,none
1438,岐阜造園,standard,建設業,建設・資材,none
143A,イシン,growth,サービス業,情報通信・サービスその他,none
1443,技研ホールディングス,standard,建設業,建設・資材,none
1444,ニッソウ,growth,建設業,建設・資材,none
1446,キャンディル,standard,建設業,建設・資材,none
1447,ＳＡＡＦホールディングス,growth,建設業,建設・資材,none
1450,ＴＡＮＡＫＥＮ,standard,建設業,建設・資材,none
145A,Ｌ　ｉｓ　Ｂ,growth,情報・通信業,情報通信・サービスその他,none
146A,コロンビア・ワークス,standard,不動産業,不動産,none
147A,ソラコム,growth,情報・通信業,情報通信・サービスその他,none
148A,ハッチ・ワーク,growth,情報・通信業,情報通信・サービスその他,none
1491,中外鉱業,standard,非鉄金属,鉄鋼・非鉄,none
149A,シンカ,growth,情報・通信業,情報通信・サービスその他,none
150A,ＪＳＨ,growth,サービス業,情報通信・サービスその他,none
1514,住石ホールディングス,standard,鉱業,エネルギー資源,small2
1515,日鉄鉱業,prime,鉱業,エネルギー資源,small1
1518,三井松島ホールディングス,prime,その他製品,情報通信・サービスその他,small1
151A,ダイブグループ,growth,サービス業,情報通信・サービスその他,none
153A,カウリス,growth,情報・通信業,情報通信・サービスその他,none
155A,情報戦略テクノロジー,growth,情報・通信業,情報通信・サービスその他,none
156A,マテリアルグループ,growth,サービス業,情報通信・サービスその他,none
157A,グリーンモンスター,growth,サービス業,情報通信・サービスその他,none
1605,ＩＮＰＥＸ,prime,鉱業,エネルギー資源,mid400
160A,アズパートナーズ,standard,サービス業,情報通信・サービスその他,none
1662,石油資源開発,prime,鉱業,エネルギー資源,small1
1663,Ｋ＆Ｏエナジーグループ,prime,鉱業,エネルギー資源,small1
166A,タスキホールディングス,prime,不動産業,不動産,small2
167A,リョーサン菱洋ホールディングス,prime,卸売業,商社・卸売,small1
168A,イタミアート,growth,その他製品,情報通信・サービスその他,none
1711,ＳＤＳホールディングス,standard,建設業,建設・資材,none
1716,第一カッター興業,standard,建設業,建設・資材,small2
1717,明豊ファシリティワークス,standard,サービス業,情報通信・サービスその他,none
1718,美樹工業,standard,建設業,建設・資材,none
1719,安藤・間,prime,建設業,建設・資材,mid400
1720,東急建設,prime,建設業,建設・資材,small1
1721,コムシスホールディングス,prime,建設業,建設・資材,mid400
1723,日本電技,standard,建設業,建設・資材,none
1724,シンクレイヤ,standard,建設業,建設・資材,none
1736,オーテック,standard,建設業,建設・資材,none
173A,ハンモック,growth,情報・通信業,情報通信・サービスその他,none
1758,太洋基礎工業,standard,建設業,建設・資材,none
175A,Ｗｉｌｌ　Ｓｍａｒｔ,growth,情報・通信業,情報通信・サービスその他,none
1762,高松コンストラクショングループ,prime,建設業,建設・資材,small2
1764,工藤建設,standard,建設業,建設・資材,none
1766,東建コーポレーション,prime,建設業,建設・資材,small1
1768,ソネック,standard,建設業,建設・資材,none
1770,藤田エンジニアリング,standard,建設業,建設・資材,none
177A,コージンバイオ,growth,化学,素材・化学,none
1780,ヤマウラ,prime,建設業,建設・資材,small2
1783,ｆａｎｔａｓｉｓｔａ,standard,不動産業,不動産,none
1786,オリエンタル白石,prime,建設業,建設・資材,small2
1787,ナカボーテック,standard,建設業,建設・資材,none
1788,三東工業社,standard,建設業,建設・資材,none
1793,大本組,standard,建設業,建設・資材,none
1795,マサル,standard,建設業,建設・資材,none
1798,守谷商会,standard,建設業,建設・資材,none
1799,第一建設工業,standard,建設業,建設・資材,none
1801,大成建設,prime,建設業,建設・資材,mid400
1802,大林組,prime,建設業,建設・資材,mid400
1803,清水建設,prime,建設業,建設・資材,mid400
1807,佐藤渡辺,standard,建設業,建設・資材,none
1808,長谷工コーポレーション,prime,建設業,建設・資材,mid400
1810,松井建設,standard,建設業,建設・資材,small2
1811,錢高組,standard,建設業,建設・資材,none
1812,鹿島建設,prime,建設業,建設・資材,mid400
1813,不動テトラ,prime,建設業,建設・資材,small2
1814,大末建設,prime,建設業,建設・資材,none
1815,鉄建建設,prime,建設業,建設・資材,small2
1820,西松建設,prime,建設業,建設・資材,mid400
1822,大豊建設,standard,建設業,建設・資材,small2
1826,佐田建設,standard,建設業,建設・資材,none
1827,ナカノフドー建設,standard,建設業,建設・資材,none
1828,田辺工業,standard,建設業,建設・資材,none
1833,奥村組,prime,建設業,建設・資材,small1
1835,東鉄工業,prime,建設業,建設・資材,small1
1840,土屋ホールディングス,standard,建設業,建設・資材,none
1844,大盛工業,standard,建設業,建設・資材,none
1847,イチケン,standard,建設業,建設・資材,none
1848,富士ピー・エス,standard,建設業,建設・資材,none
184A,学びエイド,growth,情報・通信業,情報通信・サービスその他,none
1850,南海辰村建設,standard,建設業,建設・資材,none
1852,淺沼組,prime,建設業,建設・資材,small1
1853,森組,standard,建設業,建設・資材,none
1860,戸田建設,prime,建設業,建設・資材,mid400
1861,熊谷組,prime,建設業,建設・資材,small1
1866,北野建設,standard,建設業,建設・資材,none
1867,植木組,standard,建設業,建設・資材,none
186A,アストロスケールホールディングス,growth,サービス業,情報通信・サービスその他,none
1870,矢作建設工業,prime,建設業,建設・資材,small1
1871,ピーエス・コンストラクション,prime,建設業,建設・資材,small2
1873,日本ハウスホールディングス,prime,建設業,建設・資材,small2
1878,大東建託,prime,不動産業,不動産,mid400
1879,新日本建設,prime,建設業,建設・資材,small2
1882,東亜道路工業,prime,建設業,建設・資材,small1
1885,東亜建設工業,prime,建設業,建設・資材,small1
1887,日本国土開発,prime,建設業,建設・資材,small2
1888,若築建設,prime,建設業,建設・資材,small2
